winner,awayID,homeID,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
1,15,7,45,26,11,101,61.6,2.89,2.427,1.0786,25.3,60.0,50.0,237.0,81.2,29.5,28.878,0.86,0.205,0.867,0.875,0.526,0.486,4921.0,2522.0,2399.0,51.2,9.8,0.916,23,51,8,54,32.9,1.866,3.28,0.6099,13.4,30.0,64.0,224.0,75.1,24.1951,35.6098,0.528,0.087,0.563,0.647,0.5,0.246,4884.0,2195.0,2689.0,44.9,7.7,0.908
1,12,29,30,41,11,71,43.3,2.232,2.671,0.756,18.8,45.0,29.0,240.0,84.7,30.7805,27.2683,0.611,0.174,0.708,0.759,0.423,0.25,4913.0,2602.0,2311.0,53.0,7.3,0.902,42,35,5,89,54.3,2.768,3.024,0.8765,21.7,53.0,60.0,244.0,80.2,28.8537,33.439,0.73,0.333,0.815,0.833,0.417,0.558,5068.0,2498.0,2570.0,49.3,9.6,0.91
0,5,17,43,27,12,98,59.8,2.646,2.488,1.0882,19.3,49.0,42.0,254.0,84.8,31.6341,29.2805,0.673,0.303,0.735,0.882,0.587,0.485,4883.0,2396.0,2487.0,49.1,8.4,0.915,43,25,14,100,61.0,2.817,2.573,1.0455,23.8,70.0,55.0,294.0,80.9,29.622,28.3171,0.595,0.45,0.882,0.839,0.523,0.528,5015.0,2581.0,2434.0,51.5,9.5,0.909
0,8,16,50,22,10,110,67.1,2.61,2.244,1.184,16.5,40.0,42.0,243.0,83.7,28.4634,30.122,0.821,0.419,0.714,0.865,0.611,0.585,5174.0,2695.0,2479.0,52.1,9.2,0.926,48,28,6,102,62.2,2.683,2.268,1.1923,17.6,46.0,35.0,261.0,83.4,33.8659,30.2073,0.761,0.361,0.897,1.0,0.596,0.586,4905.0,2553.0,2352.0,52.0,7.9,0.925
1,53,22,24,50,8,56,34.1,2.012,3.256,0.6158,20.0,46.0,65.0,230.0,76.7,29.1829,33.1951,0.424,0.204,0.522,0.824,0.385,0.259,5142.0,2666.0,2476.0,51.9,6.9,0.902,24,44,14,62,37.8,2.354,3.366,0.6784,17.7,41.0,51.0,232.0,76.7,28.4268,30.0488,0.471,0.167,0.435,0.63,0.333,0.273,4957.0,2390.0,2567.0,48.2,8.3,0.888
1,2,1,47,28,7,101,61.6,2.988,2.732,1.0802,18.7,50.0,48.0,267.0,78.0,33.7927,28.3049,0.592,0.545,0.667,0.781,0.607,0.476,4880.0,2402.0,2478.0,49.2,8.8,0.903,32,36,14,78,47.6,2.146,2.549,0.9297,19.3,41.0,52.0,212.0,80.6,24.4878,30.7073,0.533,0.216,0.593,0.781,0.235,0.438,4659.0,2203.0,2456.0,47.3,8.8,0.917
1,4,15,33,31,18,84,51.2,2.585,2.72,1.0073,23.4,60.0,61.0,256.0,77.1,29.4268,30.2561,0.688,0.22,0.731,0.864,0.475,0.341,5027.0,2571.0,2456.0,51.1,8.8,0.91,45,26,11,101,61.6,2.89,2.427,1.0786,25.3,60.0,50.0,237.0,81.2,29.5,28.878,0.86,0.205,0.867,0.875,0.526,0.486,4921.0,2522.0,2399.0,51.2,9.8,0.916
0,14,13,50,24,8,108,65.9,3.159,2.512,1.2759,18.8,53.0,42.0,282.0,83.7,29.6098,27.8902,0.761,0.417,0.833,0.943,0.622,0.606,4772.0,2372.0,2400.0,49.7,10.7,0.91,38,29,15,91,55.5,2.415,2.598,1.0272,16.3,40.0,50.0,246.0,80.0,30.6829,29.561,0.697,0.306,0.789,0.75,0.386,0.541,5155.0,2505.0,2650.0,48.6,7.9,0.912
1,30,19,46,28,8,100,61.0,2.768,2.415,1.1419,15.8,39.0,32.0,246.0,86.3,30.7561,27.622,0.778,0.297,0.844,0.875,0.519,0.667,4995.0,2491.0,2504.0,49.9,9.0,0.913,51,24,7,109,66.5,2.915,2.402,1.1812,22.3,56.0,42.0,251.0,83.7,30.9146,27.2317,0.783,0.417,0.808,0.842,0.66,0.556,5123.0,2737.0,2386.0,53.4,9.4,0.912
1,52,20,43,26,13,99,60.4,2.72,2.488,1.1484,17.8,48.0,56.0,269.0,81.8,29.7439,28.6585,0.653,0.333,0.676,0.789,0.543,0.5,5065.0,2476.0,2589.0,48.9,9.1,0.913,45,30,7,97,59.1,2.89,2.598,1.0387,18.8,48.0,36.0,255.0,80.7,27.4634,29.1585,0.694,0.435,0.889,0.923,0.455,0.591,5123.0,2431.0,2692.0,47.5,10.5,0.911
0,23,22,48,29,5,101,61.6,2.878,2.683,0.9627,19.3,46.0,38.0,238.0,85.7,29.9146,29.8293,0.771,0.447,0.773,0.882,0.65,0.524,4993.0,2330.0,2663.0,46.7,9.6,0.91,24,44,14,62,37.8,2.354,3.366,0.6784,17.7,41.0,51.0,232.0,76.7,28.4268,30.0488,0.471,0.167,0.435,0.63,0.333,0.273,4957.0,2390.0,2567.0,48.2,8.3,0.888
